"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Гамбия,18.01.2021,3933,3697,128,23,5,1
Бахрейн,23.05.2020,8802,4465,13,388,369,1
Камерун,15.09.2020,20271,18837,415,43,0,0
Судан,03.08.2020,11738,6137,752,0,0,0
Косово и Метохия,04.01.2021,51965,42637,1344,0,0,0
Гренада,21.07.2020,23,23,0,0,0,0
Джибути,21.06.2020,4582,3859,45,17,294,0
Киргизия,07.12.2020,75395,67400,1297,0,0,0
Эсватини,07.05.2020,153,12,2,30,0,0
Парагвай,03.08.2020,5724,4249,55,80,283,3
Марокко,02.11.2020,225070,187101,3826,2526,2788,64
Украина,27.04.2020,9009,864,220,392,24,11
Нидерланды,12.07.2020,51237,193,6156,101,0,0
Гондурас,05.07.2020,23943,2490,639,1022,103,10
Германия,14.03.2020,4585,46,9,910,0,2
Нигерия,27.07.2020,41180,18203,860,648,829,2
Соломоновы острова,07.11.2020,13,4,0,0,0,0
Португалия,27.04.2020,24027,1357,928,163,28,25
США,23.01.2021,25016816,0,417476,170138,0,3329
Норвегия,03.12.2020,37371,17998,353,402,0,2
Уругвай,20.12.2020,13048,8327,119,491,325,5
Папский Престол,25.12.2020,27,15,0,0,0,0
Эквадор,03.07.2020,60657,28391,4700,1189,359,61
Монголия,26.07.2020,288,218,0,0,0,0
Либерия,16.02.2020,0,0,0,0,0,0
Вануату,22.02.2020,0,0,0,0,0,0
Сейшельские острова,29.09.2020,143,140,0,0,0,0
Италия,20.10.2020,434449,255005,36705,10871,2046,89
Мальдивы,21.05.2020,1216,91,4,30,0,0
Панама,07.11.2020,138506,116823,2781,746,833,11
ОАЭ,22.01.2020,0,0,0,0,0,0
Мадагаскар,16.04.2020,111,33,0,1,4,0
Замбия,25.04.2020,84,37,3,0,0,0
Эфиопия,22.01.2020,0,0,0,0,0,0
Албания,22.01.2020,0,0,0,0,0,0
Австралия,23.04.2020,6662,5047,75,10,115,8
Венесуэла,23.10.2020,88718,82899,764,302,615,5
Турция,14.10.2020,340450,298368,9014,1671,1396,57
Черногория,13.05.2020,324,307,9,0,9,0
Шри-Ланка,21.01.2021,56076,47984,276,887,769,2
Индонезия,09.11.2020,440569,372266,14689,2853,3968,75
Швеция,11.12.2020,320098,0,7514,7370,0,160
Нигер,26.03.2020,10,0,1,3,0,0
Барбадос,23.10.2020,226,207,7,2,0,0
Новая Зеландия,20.03.2020,39,0,0,11,0,0
Афганистан,11.03.2020,11,0,0,3,0,0
Испания,18.10.2020,936560,150376,33775,0,0,0
Коморские острова,18.10.2020,502,485,7,0,0,0
Индия,05.06.2020,236184,113233,6649,9471,4783,286
Того,09.04.2020,73,24,3,3,1,0
Болгария,24.11.2020,129348,40102,3226,4382,1876,157
Западный берег реки Иордан,27.01.2021,156996,146934,1808,603,655,5
Япония,02.01.2021,242097,196264,3369,3029,2706,27
Мали,06.08.2020,2552,1954,124,6,4,0
Мексика,07.07.2020,268008,209437,32014,6258,4611,895
Египет,14.05.2020,10829,2626,571,398,140,15
Казахстан,14.09.2020,136513,107269,1962,129,0,7
Ангола,07.06.2020,91,24,4,3,0,0
Польша,09.12.2020,1088346,768241,21160,12166,29396,568
Хорватия,10.01.2021,219993,210126,4368,646,919,26
Папский Престол,20.05.2020,12,2,0,0,0,0
Исландия,13.04.2020,1711,933,8,10,44,0
Алжир,21.08.2020,40667,28587,1418,409,306,7
Монако,30.07.2020,120,105,4,0,0,0
Мавритания,22.05.2020,200,7,6,27,0,1
Уругвай,25.05.2020,787,629,22,18,11,0
Камбоджа,21.10.2020,286,280,0,0,0,0
США,17.02.2020,14,3,0,0,0,0
Норвегия,11.06.2020,8608,8138,242,14,0,3
Гвинея-Бисау,13.07.2020,1842,773,26,0,0,0
Нигерия,05.02.2020,0,0,0,0,0,0
Соломоновы острова,04.05.2020,0,0,0,0,0,0
Уганда,12.10.2020,9864,6109,94,63,0,1
Либерия,24.01.2021,1914,1714,84,0,0,0
Вануату,18.01.2021,1,1,0,0,0,0
Грузия,01.08.2020,1171,947,17,3,7,0
Монголия,06.02.2020,0,0,0,0,0,0
Словакия,23.09.2020,7269,3888,41,338,220,1
Киргизия,07.06.2020,2007,1425,22,33,65,0
Колумбия,12.04.2020,2776,270,109,67,56,9
Франция,04.10.2020,660372,100281,32228,12504,0,32
Маврикий,25.08.2020,348,335,10,1,0,0
Гренада,11.02.2020,0,0,0,0,0,0
Таиланд,08.10.2020,3628,3441,59,6,2,0
Мьянма,18.01.2021,134795,118200,2973,477,537,18
Косово и Метохия,07.03.2020,0,0,0,0,0,0
Бахрейн,22.12.2020,90634,88666,350,184,124,0
Судан,29.01.2020,0,0,0,0,0,0
Бутан,28.09.2020,280,210,0,7,0,0
Германия,28.12.2020,1672643,1294932,31145,14004,22900,848
Латвия,23.03.2020,180,1,0,41,0,0
Сент-Люсия,16.03.2020,2,0,0,0,0,0
Доминика,24.06.2020,18,18,0,0,0,0
Украина,14.11.2020,540593,249127,9806,12785,5226,202
Кипр,10.09.2020,1517,1237,22,3,0,0
Люксембург,03.09.2020,6811,6074,124,66,59,0
Марокко,09.05.2020,5910,2461,186,199,137,0
Эсватини,04.11.2020,5955,5686,117,13,17,0
Гайана,26.06.2020,215,108,12,0,0,0
Парагвай,29.01.2020,0,0,0,0,0,0
Судно "Diamond Princess",15.03.2020,706,325,7,0,0,0
Болгария,17.04.2020,846,141,41,46,19,3
Западный берег реки Иордан,13.02.2020,0,0,0,0,0,0
Индия,09.12.2020,9767371,9253306,141772,31521,37725,412
Лаос,23.09.2020,23,22,0,0,0,0
Сербия,19.10.2020,36282,0,778,122,0,2
Руанда,26.03.2020,50,0,0,9,0,0
Хорватия,01.03.2020,7,0,0,1,0,0
Лесото,27.11.2020,2109,1278,44,0,0,0
Мали,26.01.2020,0,0,0,0,0,0
